name;rating;convenience;security;functionality;comment
Гараж 68;4.4;4;4;3;Это здание имеет стандартную конструкцию.
Кинотеатр 28;1.7;5;4;3;Это здание представляет собой типичный образец современной архитектуры.
Ресторан 51;2.7;2;5;3;Это здание имеет стандартную конструкцию.
Причал 13;2.0;5;2;2;Это здание является примером функционального дизайна.
Подвал 53;1.7;2;1;2;Это здание прекрасно вписывается в окружающий ландшафт.
Логово 48;0.6;1;4;1;Это здание построено из стандартных строительных материалов.
Цирк 83;3.2;4;4;1;У этого здания отличная архитектура.
Замок 70;2.1;1;3;3;Это здание имеет стандартную конструкцию.
Коровник 49;2.0;1;5;1;Это здание прекрасно вписывается в окружающий ландшафт.
Хаус 68;2.8;2;5;2;Это здание построено из стандартных строительных материалов.
Котельная 75;0.5;2;3;2;Это здание прекрасно вписывается в окружающий ландшафт.
Муравейник 66;0.1;2;1;5;Это здание представляет собой типичный образец современной архитектуры.
Путепровод 78;4.0;5;3;3;Это здание является примером функционального дизайна.
Пандус 75;4.5;2;1;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Склад 79;0.9;4;1;3;Мне нравится дизайн этого здания.
Муравейник 66;3.3;5;3;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Фазенда 14;2.4;1;2;1;Это здание построено из стандартных строительных материалов.
Док 38;3.3;1;1;4;Это здание прекрасно вписывается в окружающий ландшафт.
Склад 79;4.7;3;3;4;Мне нравится дизайн этого здания.
Логово 48;3.2;1;3;3;Это великолепное здание!
Чердак 3;4.3;1;3;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Силок 55;0.4;3;3;2;Это здание построено из стандартных строительных материалов.
Лежбище 78;0.7;5;4;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Библиотека 45;2.0;1;2;2;Это здание построено из стандартных строительных материалов.
Пасека 53;4.4;2;5;5;Это великолепное здание!
Отель 48;1.1;1;2;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Курятник 60;1.0;4;3;4;Это здание является примером функционального дизайна.
Гараж 68;1.1;3;3;4;Это здание является примером функционального дизайна.
Эскалатор 10;3.3;3;4;3;Это здание представляет собой типичный образец современной архитектуры.
Путепровод 78;4.6;4;3;5;Это здание представляет собой типичный образец современной архитектуры.
Фабрика 15;4.1;2;4;2;Это здание не имеет особых архитектурных особенностей.
Аптека 19;1.6;4;4;1;Это здание представляет собой типичный образец современной архитектуры.
Док 38;0.3;5;3;5;Это здание не имеет особых архитектурных особенностей.
Аптека 6;1.5;2;5;4;Это здание является примером функционального дизайна.
Архив 4;2.9;5;3;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Муравейник 66;4.7;5;3;3;Это здание имеет стандартную конструкцию.
Супермаркет 34;4.1;3;5;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Кинотеатр 28;4.2;4;2;3;Мне нравится дизайн этого здания.
Крольчатник 45;1.1;4;5;5;Это здание представляет собой типичный образец современной архитектуры.
Супермаркет 34;1.8;1;5;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Банк 23;3.2;3;4;1;Это здание имеет стандартную конструкцию.
Лежбище 78;1.9;1;1;2;Это здание является примером функционального дизайна.
Библиотека 45;3.8;2;2;4;Это здание не имеет особых архитектурных особенностей.
Банк 23;2.7;2;4;3;Это здание построено из стандартных строительных материалов.
Путепровод 78;0.1;5;4;4;Это здание не имеет особых архитектурных особенностей.
Конюшня 37;4.1;3;2;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Развязка 10;3.8;3;5;4;Это здание не имеет особых архитектурных особенностей.
Овчарня 15;2.1;1;5;3;Это великолепное здание!
Страусятник 2;0.8;2;3;3;Это здание является примером функционального дизайна.
Гнездо 3;2.0;4;2;2;Это здание имеет стандартную конструкцию.
