product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Баклажан,5638,724,Овощи,"Помогает поддерживать нормальный уровень мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2004-02-02,2023-07-04,1.3,Backorder
2,Кондиционер для белья,1041,598,Товары для дома,"Помогает поддерживать нормальный уровень танинов, веществ, обладающих вяжущими и антисептическими свойствами.",1998-07-04,2024-01-13,4.36,New
3,Карпаччо,4285,90,Мясо,Подходит для использования в рационе людей с повышенным давлением.,1993-06-21,2017-08-10,2.91,Returned
4,Ласси,9952,180,Молочные продукты,"Обладает мягким вкусом, который нравится многим потребителям.",1993-01-15,1999-06-07,2.39,Out of Stock
5,Наволочки,9086,438,Товары для дома,"Помогает поддерживать нормальный уровень мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1997-02-05,2004-04-19,4.84,Refunded
6,Кардамон молотый,7406,463,Бакалея,"Популярен среди спортсменов и людей, ведущих активный образ жизни.",1995-04-06,2021-01-05,1.91,Cancelled
7,Смородина,6855,891,Фрукты,Рекомендуется для включения в рацион беременных женщин и кормящих матерей.,2017-01-06,2019-08-10,3.83,Available for Pickup
8,Батат,6623,866,Овощи,Может быть использован в качестве заменителя менее полезных продуктов.,2004-02-05,2023-01-13,0.57,Backorder
9,Каша из проса,7404,418,Бакалея,"Универсальный продукт, который можно использовать в приготовлении как сладких, так и соленых блюд.",2011-07-01,2019-03-10,3.37,Backorder
10,Шаверма,8119,570,Мясо,"Отличается высоким содержанием калия, необходимого для нормальной работы сердца.",2022-06-01,2024-02-27,4.97,Refunded
11,Яблоко,7400,432,Фрукты,"Отличается высоким содержанием пиридоксина, необходимого для синтеза нейромедиаторов.",1995-03-02,2013-01-02,0.06,Temporarily Unavailable
12,Анис звездчатый,6935,750,Бакалея,Отличается низкой калорийностью и высоким содержанием белка.,2001-05-07,2022-01-06,3.29,Pending
13,Огурец,3364,239,Овощи,"Доступен в различных упаковках и форматах, что упрощает выбор подходящего варианта.",2009-05-05,2020-08-01,0.33,Available for Pickup
14,Банан,5809,607,Фрукты,"Отличается высоким содержанием пантотеновой кислоты, необходимой для метаболизма жиров, белков и углеводов.",1994-01-10,2021-02-11,0.76,Backorder
15,Сельдерей сушеный,699,897,Бакалея,"Отличается высоким содержанием холина, необходимого для здоровья мозга и памяти.",1993-07-03,2006-02-01,4.6,Awaiting Payment
16,Щавель,8790,634,Овощи,"Отличается высоким содержанием фосфора, необходимого для здоровья зубов и костей.",2022-08-09,2023-04-13,0.59,Backorder
17,Турнепс,3956,596,Овощи,"Отличается высоким содержанием бета-каротина, необходимого для здоровья глаз и кожи.",2006-10-02,2016-04-01,2.35,Available for Pickup
18,Чечевица,9916,515,Овощи,Помогает поддерживать здоровье глаз и зрение благодаря содержанию витамина A.,1991-06-01,2013-02-19,0.6,Backorder
19,Кристалл Байкала,4516,13,Напитки,"Обеспечивает организм необходимыми жирами, белками и углеводами.",2018-03-07,2029-08-03,2.68,Temporarily Unavailable
20,Рагу,5993,509,Мясо,Является важным элементом спортивного питания для восстановления после тренировок.,1998-01-07,2005-01-07,1.79,New
21,Пармезан,2748,566,Молочные продукты,"Отличается низким содержанием лактозы, что делает его доступным для людей с ее непереносимостью.",2016-02-13,2025-04-01,4.34,Out of Stock
22,Свекла,5593,240,Овощи,"Отличается высоким содержанием эвгенола, вещества, обладающего обезболивающими и антисептическими свойствами.",1996-02-22,2008-03-13,3.2,Available for Pickup
23,Дыня,6590,824,Фрукты,Помогает улучшать качество сна и снижать уровень тревожности.,2022-04-13,2029-02-14,0.17,Sold
24,Морс брусничный,2541,212,Напитки,Используется в косметологии для ухода за кожей и волосами.,2018-02-22,2028-05-14,0.74,Pending
25,Самарская,1206,677,Напитки,Широко используется в традиционной и современной кухне.,1993-05-23,2002-02-03,0.83,Delivered
26,Цветная капуста,8927,349,Овощи,Является важным элементом спортивного питания для восстановления после тренировок.,2022-07-10,2023-03-04,1.77,Backorder
27,Турнепс,3977,961,Овощи,Рекомендуется для включения в рацион беременных женщин и кормящих матерей.,2007-04-13,2016-01-03,1.95,Out of Stock
28,Донат магний,4718,414,Напитки,Отличается стабильностью вкуса и качества в течение всего срока хранения.,2001-02-27,2017-02-02,3.5,On Backorder
29,Крольчатина,7804,395,Мясо,"Отличается устойчивостью к температурным изменениям, что облегчает хранение.",2020-01-05,2024-02-11,3.99,Backorder
30,Каша из пшеницы спельты,9167,704,Бакалея,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,2018-01-04,2028-01-05,0.53,Awaiting Review
31,Брюква,3499,563,Овощи,Отличается способностью повышать общий тонус и работоспособность.,1996-01-04,2028-04-01,1.02,Sold
32,Пакеты для уборки,482,699,Товары для дома,"Является источником важных микроэлементов, таких как магний и калий.",2004-01-13,2006-03-03,3.85,Awaiting Review
33,Мята перечная сушеная,4358,5,Бакалея,"Отличается высоким содержанием бета-каротина, необходимого для здоровья глаз и кожи.",2017-07-03,2022-10-16,3.99,Temporarily Unavailable
34,Клинская,9737,305,Напитки,"Легко усваивается организмом, обеспечивая быстрое насыщение и энергию.",2016-02-19,2028-02-20,0.47,Backorder
35,Брокколи,7257,794,Овощи,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2018-01-14,2024-01-14,0.85,Temporarily Unavailable
36,Мороженое,9440,901,Молочные продукты,Прошел независимые лабораторные исследования и получил положительные отзывы экспертов.,2021-07-06,2025-01-01,0.07,Available for Pickup
37,Чечевица,2641,614,Овощи,"Является источником важных нутриентов, необходимых для роста и развития детей.",1990-05-02,2024-01-10,2.88,New
38,Лимон,4047,563,Фрукты,Отличается высокой степенью очистки и отсутствия посторонних примесей.,2009-04-01,2015-08-01,0.61,Awaiting Payment
39,Портулак,1387,774,Овощи,Способствует снижению уровня стресса и улучшению настроения.,2022-03-03,2029-04-05,4.15,Available for Pickup
40,Пакеты для библиотеки,9760,50,Товары для дома,"Помогает поддерживать нормальный уровень норадреналина, гормона, влияющего на настроение и поведение.",2004-04-11,2030-04-01,0.03,New
41,Анис звездчатый,9687,698,Бакалея,"Подходит для людей всех возрастов, включая детей и пожилых.",2010-09-02,2026-06-06,3.9,Awaiting Review
42,Печень,5011,380,Мясо,"Может использоваться как основа для приготовления домашних йогуртов, сыров и других молочных продуктов.",1997-01-08,2027-06-10,0.89,On Backorder
43,Репа,2463,679,Овощи,Помогает предотвратить развитие остеопороза благодаря высокому содержанию кальция.,1998-01-05,2018-01-19,3.11,Refunded
44,Пакеты для растений,3789,78,Товары для дома,Помогает поддерживать нормальный уровень холестерина в крови.,1997-12-08,2020-02-27,3.4,Pending
45,Персик,4410,363,Фрукты,Отличается способностью повышать общий тонус и работоспособность.,2018-02-21,2028-07-13,1.49,Shipping
46,Фенхель,2825,222,Овощи,Отличается высокой питательностью и способен быстро утолить голод.,2010-04-02,2029-01-03,3.27,In Stock
47,Adrenaline Rush,7729,639,Напитки,"Помогает поддерживать нормальный уровень кумаринов, веществ, обладающих антикоагулянтными свойствами.",2020-06-15,2028-06-12,2.37,Cancelled
48,Горошек консервированный,9025,314,Бакалея,Помогает поддерживать нормальный обмен веществ и метаболизм.,1996-05-10,2009-06-20,4.01,Sold
49,Грейпфрут,9532,197,Фрукты,Отличается натуральным составом и отсутствием искусственных добавок.,1993-12-01,1999-02-13,1.79,Awaiting Review
50,Штопоры,1072,387,Товары для дома,Помогает поддерживать нормальный уровень энергии и выносливости.,2004-03-01,2030-04-20,4.02,Temporarily Unavailable
51,Камчатская,1363,73,Напитки,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2003-01-02,2025-01-02,3.78,Backorder
52,Ананас,496,545,Фрукты,"Помогает улучшить состояние волос, ногтей и кожи.",2009-01-04,2025-06-03,2.62,Temporarily Unavailable
53,Vittel,2920,104,Напитки,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1999-01-24,2023-01-03,0.81,New
54,Абрикос,8352,586,Фрукты,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2016-04-01,2022-10-14,2.09,Sold
55,Сок апельсиновый,7900,326,Напитки,Способствует укреплению иммунной системы благодаря содержанию пробиотиков.,2002-05-08,2005-04-03,4.33,Cancelled
56,Топинамбур,705,37,Овощи,"Отличается высоким содержанием пантотеновой кислоты, необходимой для метаболизма жиров, белков и углеводов.",2020-11-21,2026-04-06,0.97,Returned
57,Каймак,5217,737,Молочные продукты,"Отличается высоким содержанием рутина, флавоноида, укрепляющего сосуды и улучшающего кровообращение.",2015-07-03,2018-06-05,2.32,Backorder
58,Судакская,6844,552,Напитки,"Помогает поддерживать нормальный уровень тиреоидных гормонов, регулирующих обмен веществ.",2008-01-14,2026-04-03,4.2,Returned
59,Пакеты для Всемирного дня театра,7966,357,Товары для дома,Подходит для людей с различными пищевыми предпочтениями и аллергиями.,1993-02-16,2013-01-10,3.94,On Backorder
60,Капуста белокочанная,9849,250,Овощи,Помогает поддерживать нормальный уровень сахара в крови.,2013-05-01,2014-07-23,2.6,Sold
61,Утиная печень,6485,743,Мясо,Используется в косметологии для ухода за кожей и волосами.,2006-06-03,2015-06-21,0.01,New
62,Шампунь,2726,169,Товары для дома,"Отличается высоким содержанием антоцианов, пигментов, обладающих антиоксидантными и противовоспалительными свойствами.",2014-09-07,2016-01-01,1.38,Awaiting Payment
63,Пакеты для Дня смеха,9697,479,Товары для дома,Отличается гипоаллергенностью и безопасностью для большинства людей.,2006-02-09,2011-03-03,2.07,Awaiting Review
64,"Сухофрукты (изюм, курага, чернослив)",7573,244,Бакалея,"Помогает поддерживать нормальный уровень танинов, веществ, обладающих вяжущими и антисептическими свойствами.",2019-03-02,2026-01-05,4.02,Awaiting Payment
65,Шелковица,1691,98,Фрукты,Широко используется в традиционной и современной кухне.,1991-02-12,2019-04-08,2.68,Out of Stock
66,Творог,2111,678,Молочные продукты,Помогает поддерживать нормальный уровень pH в организме.,2014-03-07,2015-01-09,1.82,Available for Pickup
67,Карбонад,1160,795,Мясо,Помогает снизить риск развития сердечно-сосудистых заболеваний.,2015-06-24,2018-01-24,4.92,Shipping
68,Петрушка корневая,3422,874,Овощи,Рекомендуется для ежедневного потребления в умеренных количествах.,1998-03-01,2003-03-15,0.7,Available for Pickup
69,Капуста белокочанная,3196,393,Овощи,Представляет собой ценный источник питательных веществ для растущего организма.,2000-06-15,2021-10-02,3.51,Backorder
70,Грейпфрут,8932,939,Фрукты,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,2017-01-03,2018-04-11,1.33,Awaiting Payment
71,Брынза,9514,460,Молочные продукты,Является важным компонентом сбалансированного рациона питания.,2003-08-05,2029-03-01,4.62,Out of Stock
72,Парфюм,1015,891,Товары для дома,Помогает укреплять стенки сосудов и улучшать кровообращение.,2007-02-14,2019-01-04,2.38,Awaiting Review
73,Владимирская,6632,739,Напитки,Представляет собой ценный источник питательных веществ для растущего организма.,1993-06-01,2020-01-03,0.33,Pending
74,Сервелат,3489,454,Мясо,"Богат кальцием, необходимым для укрепления костей и зубов.",1990-02-07,2002-01-14,1.47,Available for Pickup
