product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Российский сыр,9507.0,701,Молочные продукты,"Отличается широким ассортиментом вкусов и форматов, удовлетворяя потребности разных категорий потребителей.",2007-03-23,2022-01-14,3.33,On Backorder
2,Каша из овса,4096.0,932,Бакалея,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2014-01-05,2019-06-09,4.15,Shipping
3,Клубника,1293.0,498,Фрукты,Отличается удобством использования и экономичностью в расходе.,2003-07-19,2023-02-08,0.9,Returned
4,Салфетки влажные,2345.0,246,Товары для дома,"Отличается высоким содержанием витамина K, необходимого для свертывания крови и здоровья костей.",2012-05-01,2023-06-20,1.23,Shipping
5,Хурма,8863.0,111,Фрукты,"Помогает поддерживать нормальный уровень метионина, аминокислоты, необходимой для детоксикации организма.",2016-03-08,2020-11-04,0.37,In Stock
6,Coca-Cola Zero,5674.0,191,Напитки,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2007-04-04,2015-03-10,1.07,Sold
7,Мороженое,3511.0,539,Молочные продукты,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2021-05-02,2024-03-11,0.81,Awaiting Payment
8,Эндивий,4839.0,464,Овощи,"Помогает поддерживать здоровую кожу, волосы и ногти благодаря содержанию биотина.",2008-03-12,2016-07-04,4.64,Cancelled
9,Окра,1417.0,846,Овощи,"Отличается высоким содержанием таурина, необходимого для здоровья глаз и сердца.",2019-07-05,2025-10-01,2.08,Temporarily Unavailable
10,Сметана,7668.0,873,Молочные продукты,Является важным элементом спортивного питания для восстановления после тренировок.,2019-08-11,2025-08-12,1.81,New
11,Сыр,8277.0,167,Молочные продукты,"Отличается высоким содержанием витамина K, необходимого для свертывания крови и здоровья костей.",1994-01-01,2020-06-01,4.58,Available for Pickup
12,Слива,3970.0,739,Фрукты,Прошел независимые лабораторные исследования и получил положительные отзывы экспертов.,2017-01-03,2025-09-08,1.55,Shipping
13,Пакеты для Дня благодарения,3450.0,966,Товары для дома,Помогает нормализовать артериальное давление и уровень холестерина.,1993-11-02,2011-01-04,4.08,Out of Stock
14,Клинская,471.0,948,Напитки,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2022-01-24,2025-09-02,2.89,Sold
15,Гусь,5572.0,836,Мясо,"Помогает поддерживать нормальный уровень аллицина, вещества, обладающего антибактериальными и противогрибковыми свойствами.",1995-04-03,2019-01-01,4.28,Cancelled
