product_id,name,price,quantity,category,description,production_date,rating,status
7,Смородина,6855.0,891,Фрукты,Рекомендуется для включения в рацион беременных женщин и кормящих матерей.,2017-01-06,3.83,Available for Pickup
11,Яблоко,7400.0,432,Фрукты,"Отличается высоким содержанием пиридоксина, необходимого для синтеза нейромедиаторов.",1995-03-02,0.06,Temporarily Unavailable
14,Банан,5809.0,607,Фрукты,"Отличается высоким содержанием пантотеновой кислоты, необходимой для метаболизма жиров, белков и углеводов.",1994-01-10,0.76,Backorder
23,Дыня,6590.0,824,Фрукты,Помогает улучшать качество сна и снижать уровень тревожности.,2022-04-13,0.17,Sold
38,Лимон,4047.0,563,Фрукты,Отличается высокой степенью очистки и отсутствия посторонних примесей.,2009-04-01,0.61,Awaiting Payment
45,Персик,4410.0,363,Фрукты,Отличается способностью повышать общий тонус и работоспособность.,2018-02-21,1.49,Shipping
49,Грейпфрут,9532.0,197,Фрукты,Отличается натуральным составом и отсутствием искусственных добавок.,1993-12-01,1.79,Awaiting Review
52,Ананас,496.0,545,Фрукты,"Помогает улучшить состояние волос, ногтей и кожи.",2009-01-04,2.62,Temporarily Unavailable
54,Абрикос,8352.0,586,Фрукты,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2016-04-01,2.09,Sold
65,Шелковица,1691.0,98,Фрукты,Широко используется в традиционной и современной кухне.,1991-02-12,2.68,Out of Stock
70,Грейпфрут,8932.0,939,Фрукты,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,2017-01-03,1.33,Awaiting Payment
75,Шелковица,703.0,145,Фрукты,Помогает улучшать качество сна и снижать уровень тревожности.,1999-02-08,3.05,Awaiting Payment
77,Грейпфрут,9999.0,654,Фрукты,"Отличается высоким содержанием пребиотиков, способствующих здоровью кишечника.",1996-01-15,1.33,Awaiting Payment
78,Апельсин,7276.0,545,Фрукты,Отличается высокой питательностью и способен быстро утолить голод.,2019-10-02,2.27,Available for Pickup
82,Крыжовник,7058.0,176,Фрукты,Может быть использован в выпечке для придания ей особой пышности и аромата.,2005-05-14,0.34,Out of Stock
92,Смородина,590.0,520,Фрукты,Отвечает всем современным стандартам качества и безопасности.,1990-02-14,4.81,Awaiting Review
105,Авокадо,6056.0,753,Фрукты,Часто рекомендуется врачами-диетологами как часть здорового питания.,1999-09-01,0.44,Refunded
109,Ананас,4768.0,446,Фрукты,Представляет собой ценный источник питательных веществ для растущего организма.,2009-01-02,4.8,Sold
